NI VB-8012;;;;;
Configuration;;;;;
;Device;;;;;
;;Name;Serial Number;Firmware;;;
;;VB8012-30F688F;30F688F;16.1.0f0;;;;;
MIXED SIGNAL OSCILLOSCOPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DIGITAL MULTIMETER;;;;;;DIGITAL I/O;;;;;;;;;;
Configuration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Configuration;;;;;;Configuration;;;;;;;;;;
;Analog;;;;;;;;;;;Digital;;;;;Trigger;;;;;;;;;Acquisition;;;;Analog;;;;;;Digital;;;;;;;;;;
Data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Data;;;;;;Data;;;;;;;;;;
;Analog;;;;;Digital;;;;;;;;;;;;;;;;;;;;;;;;Analog;;;;;;Digital;;;;;;;;;;
;;Timestamps (ns);PPS direct;PPS feedback;;;Timestamps (ns);PPS feedback;PPS direct;;;;;;;;;;;;;;;;;;;;;;DMM;;;;;;0;1;2;3;4;5;6;7;;;
;;-44;-0,00411522633744843;-0,0164609053497946;;;-41;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;0;0;0;0;0;0;0;;;
;;-42;0,0370370370370368;-0,0576131687242802;;;-40;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-40;0,0370370370370368;-0,0164609053497946;;;-39;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-38;0,0370370370370368;-0,0164609053497946;;;-38;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-36;0,0370370370370368;-0,0164609053497946;;;-37;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-34;0,0370370370370368;-0,0164609053497946;;;-36;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-32;0,0370370370370368;-0,0164609053497946;;;-35;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-30;0,0370370370370368;-0,0576131687242802;;;-34;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-28;-0,00411522633744843;-0,0164609053497946;;;-33;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-26;0,0370370370370368;-0,0164609053497946;;;-32;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-24;0,0370370370370368;-0,0164609053497946;;;-31;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-22;0,0370370370370368;-0,0164609053497946;;;-30;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-20;0,0370370370370368;-0,0576131687242802;;;-29;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-18;-0,00411522633744843;-0,0164609053497946;;;-28;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-16;0,0370370370370368;-0,0164609053497946;;;-27;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-14;0,0781893004115224;-0,0164609053497946;;;-26;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-12;0,0370370370370368;-0,0164609053497946;;;-25;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-10;-0,00411522633744843;-0,0576131687242802;;;-24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-8;-0,00411522633744843;-0,0576131687242802;;;-23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-6;0,0370370370370368;-0,0164609053497946;;;-22;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-4;0,407407407407407;-0,0576131687242802;;;-21;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;-2;1,27160493827161;-0,0164609053497946;;;-20;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;0;2,17695473251029;0,106995884773662;;;-19;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;2;2,67078189300412;0,106995884773662;;;-18;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;4;2,87654320987654;-0,0164609053497946;;;-17;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;6;3;-0,139917695473252;;;-16;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;8;3;-0,0576131687242802;;;-15;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;10;2,83539094650206;0,106995884773662;;;-14;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;12;2,67078189300412;0,106995884773662;;;-13;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;14;2,62962962962963;0,024691358024691;;;-12;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;16;2,62962962962963;-0,0164609053497946;;;-11;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;18;2,62962962962963;-0,139917695473252;;;-10;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;20;2,7119341563786;-0,139917695473252;;;-9;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;22;2,79423868312757;-0,0576131687242802;;;-8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;24;2,79423868312757;0,024691358024691;;;-7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;26;2,75308641975309;0,0658436213991767;;;-6;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;28;2,7119341563786;0,0658436213991767;;;-5;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;30;2,62962962962963;0,477366255144033;;;-4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;32;2,7119341563786;1,30041152263374;;;-3;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;34;2,83539094650206;2,04115226337449;;;-2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;36;2,75308641975309;2,49382716049383;;;-1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;38;2,67078189300412;2,82304526748971;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;40;2,67078189300412;3,06995884773663;;;1;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;42;2,83539094650206;3,1522633744856;;;2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;44;2,91769547325103;3,11111111111111;;;3;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;46;2,79423868312757;3,06995884773663;;;4;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;48;2,62962962962963;3,11111111111111;;;5;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;50;2,67078189300412;3,1522633744856;;;6;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;52;2,67078189300412;3,19341563786008;;;7;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;54;2,7119341563786;3,19341563786008;;;8;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;56;2,7119341563786;3,19341563786008;;;9;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;58;2,79423868312757;3,1522633744856;;;10;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;60;2,75308641975309;3,1522633744856;;;11;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;62;2,75308641975309;3,1522633744856;;;12;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;64;2,67078189300412;3,23456790123457;;;13;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;66;2,67078189300412;3,19341563786008;;;14;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;68;2,67078189300412;3,1522633744856;;;15;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;70;2,79423868312757;3,1522633744856;;;16;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;72;2,79423868312757;3,1522633744856;;;17;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;74;2,75308641975309;3,1522633744856;;;18;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;76;2,7119341563786;3,19341563786008;;;19;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;78;2,67078189300412;3,19341563786008;;;20;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;80;2,7119341563786;3,19341563786008;;;21;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;82;2,75308641975309;3,1522633744856;;;22;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;23;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;24;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;25;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;26;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;27;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;28;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;29;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;30;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;31;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;32;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;33;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;34;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;35;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;36;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;37;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;38;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;39;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;40;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;41;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;42;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;43;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;44;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;45;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;46;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;47;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;48;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;49;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;50;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;51;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;52;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;53;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;54;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;55;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;56;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;57;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;58;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;59;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;60;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;61;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;62;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;63;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;64;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;65;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;66;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;67;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;68;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;69;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;70;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;71;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;72;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;73;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;74;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;75;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;76;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;77;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;78;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;79;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;80;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;81;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
